144 Transform(Location(x=210.739395, y=-11.272166, z=0.300000), Rotation(pitch=0.000000, yaw=-90.669060, roll=0.000000))
145 Transform(Location(x=31.556599, y=138.833893, z=0.300000), Rotation(pitch=0.000000, yaw=-89.977112, roll=0.000000))
146 Transform(Location(x=-124.046745, y=75.872360, z=0.300000), Rotation(pitch=0.000000, yaw=-90.511383, roll=0.000000))
147 Transform(Location(x=-62.878407, y=-94.988525, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
148 Transform(Location(x=-48.163212, y=-102.922791, z=0.450000), Rotation(pitch=0.000000, yaw=-94.314819, roll=0.000000))
149 Transform(Location(x=-120.558464, y=74.541183, z=0.300000), Rotation(pitch=0.000000, yaw=-90.511383, roll=0.000000))
150 Transform(Location(x=-36.398438, y=-87.948662, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
151 Transform(Location(x=-44.755901, y=-104.283005, z=0.450000), Rotation(pitch=0.000000, yaw=-94.314819, roll=0.000000))
152 Transform(Location(x=40.172600, y=144.898178, z=0.300000), Rotation(pitch=0.000000, yaw=2.228426, roll=0.000000))
153 Transform(Location(x=-54.910080, y=-77.223679, z=0.450000), Rotation(pitch=0.000000, yaw=89.662514, roll=0.000000))
154 Transform(Location(x=-51.404831, y=-76.344299, z=0.450000), Rotation(pitch=0.000000, yaw=89.662514, roll=0.000000))
155 Transform(Location(x=207.270935, y=-13.931108, z=0.300000), Rotation(pitch=0.000000, yaw=-90.669060, roll=0.000000))
156 Transform(Location(x=-127.286636, y=105.030807, z=0.300000), Rotation(pitch=0.000000, yaw=89.488602, roll=0.000000))
157 Transform(Location(x=-64.684090, y=-91.491158, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
158 Transform(Location(x=-37.703709, y=-84.450592, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
159 Transform(Location(x=22.263048, y=187.676407, z=0.300000), Rotation(pitch=0.000000, yaw=-179.719513, roll=0.000000))
160 Transform(Location(x=22.226889, y=194.676300, z=0.300000), Rotation(pitch=0.000000, yaw=-179.712158, roll=0.000000))
161 Transform(Location(x=20.744501, y=191.168762, z=0.300000), Rotation(pitch=0.000000, yaw=-179.712158, roll=0.000000))
162 Transform(Location(x=203.739853, y=-11.190423, z=0.300000), Rotation(pitch=0.000000, yaw=-90.669060, roll=0.000000))
163 Transform(Location(x=37.337761, y=201.752304, z=0.300000), Rotation(pitch=0.000000, yaw=0.289841, roll=0.000000))
164 Transform(Location(x=-109.686501, y=94.941193, z=0.300000), Rotation(pitch=0.000000, yaw=0.065570, roll=0.000000))
165 Transform(Location(x=-108.282501, y=91.442787, z=0.300000), Rotation(pitch=0.000000, yaw=0.065570, roll=0.000000))
166 Transform(Location(x=19.206675, y=-91.364868, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
167 Transform(Location(x=25.953178, y=-75.568909, z=0.300000), Rotation(pitch=0.000000, yaw=91.532082, roll=0.000000))
168 Transform(Location(x=18.011946, y=-94.866638, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
169 Transform(Location(x=197.040344, y=13.699100, z=0.300000), Rotation(pitch=0.000000, yaw=90.664635, roll=0.000000))
170 Transform(Location(x=44.775852, y=-84.127823, z=0.500000), Rotation(pitch=0.000000, yaw=-1.444275, roll=0.000000))
171 Transform(Location(x=43.388065, y=-87.593956, z=0.300000), Rotation(pitch=0.000000, yaw=-1.444275, roll=0.000000))
172 Transform(Location(x=29.486671, y=-76.774536, z=0.300000), Rotation(pitch=0.000000, yaw=91.532082, roll=0.000000))
173 Transform(Location(x=16.355600, y=-0.990493, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
174 Transform(Location(x=24.597328, y=14.145382, z=0.300000), Rotation(pitch=0.000000, yaw=89.488258, roll=0.000000))
175 Transform(Location(x=31.399366, y=-12.338720, z=0.300000), Rotation(pitch=0.000000, yaw=-89.800926, roll=0.000000))
176 Transform(Location(x=17.847080, y=-4.494134, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
177 Transform(Location(x=41.056664, y=1.742678, z=0.300000), Rotation(pitch=0.000000, yaw=0.250285, roll=0.000000))
178 Transform(Location(x=41.941372, y=5.246575, z=0.300000), Rotation(pitch=0.000000, yaw=0.250285, roll=0.000000))
179 Transform(Location(x=193.571869, y=10.958689, z=0.300000), Rotation(pitch=0.000000, yaw=90.664635, roll=0.000000))
180 Transform(Location(x=28.082001, y=12.414189, z=0.300000), Rotation(pitch=0.000000, yaw=89.488258, roll=0.000000))
181 Transform(Location(x=34.907337, y=-14.626545, z=0.300000), Rotation(pitch=0.000000, yaw=-89.800926, roll=0.000000))
182 Transform(Location(x=-133.158722, y=-142.372116, z=0.600000), Rotation(pitch=0.000000, yaw=-179.557465, roll=0.000000))
183 Transform(Location(x=-135.931625, y=-145.893616, z=0.600000), Rotation(pitch=0.000000, yaw=-179.557465, roll=0.000000))
184 Transform(Location(x=-114.008064, y=-135.223969, z=0.600000), Rotation(pitch=0.000000, yaw=0.442562, roll=0.000000))
185 Transform(Location(x=-115.980965, y=-138.739288, z=0.600000), Rotation(pitch=0.000000, yaw=0.442562, roll=0.000000))
186 Transform(Location(x=-131.324463, y=-125.749733, z=0.300000), Rotation(pitch=0.000000, yaw=90.393547, roll=0.000000))
187 Transform(Location(x=-127.812881, y=-127.425674, z=0.300000), Rotation(pitch=0.000000, yaw=90.393547, roll=0.000000))
188 Transform(Location(x=-217.588593, y=6.672848, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
189 Transform(Location(x=190.040817, y=13.617901, z=0.300000), Rotation(pitch=0.000000, yaw=90.664635, roll=0.000000))
190 Transform(Location(x=-219.997101, y=3.178703, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
191 Transform(Location(x=42.366356, y=-193.632538, z=0.300000), Rotation(pitch=0.000000, yaw=-0.242950, roll=0.000000))
192 Transform(Location(x=43.581200, y=-190.137695, z=0.300000), Rotation(pitch=0.000000, yaw=-0.242950, roll=0.000000))
193 Transform(Location(x=42.396034, y=-186.632599, z=0.300000), Rotation(pitch=0.000000, yaw=-0.242950, roll=0.000000))
194 Transform(Location(x=26.419664, y=-207.565033, z=0.300000), Rotation(pitch=0.000000, yaw=179.757080, roll=0.000000))
195 Transform(Location(x=24.934509, y=-204.058685, z=0.300000), Rotation(pitch=0.000000, yaw=179.757080, roll=0.000000))
196 Transform(Location(x=26.449341, y=-200.565109, z=0.300000), Rotation(pitch=0.000000, yaw=179.757080, roll=0.000000))
197 Transform(Location(x=32.147095, y=-176.243668, z=0.300000), Rotation(pitch=0.000000, yaw=91.532082, roll=0.000000))
198 Transform(Location(x=28.677757, y=-177.436966, z=0.300000), Rotation(pitch=0.000000, yaw=91.531967, roll=0.000000))
199 Transform(Location(x=-36.142330, y=2.637298, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
200 Transform(Location(x=-37.033813, y=6.139479, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
201 Transform(Location(x=-62.871204, y=-4.297660, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
202 Transform(Location(x=-61.562683, y=-0.800837, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
203 Transform(Location(x=-44.031494, y=-11.261845, z=0.450000), Rotation(pitch=0.000000, yaw=-90.390503, roll=0.000000))
204 Transform(Location(x=-50.602310, y=13.267327, z=0.600000), Rotation(pitch=0.000000, yaw=88.908035, roll=0.000000))
205 Transform(Location(x=-47.541664, y=-12.738286, z=0.450000), Rotation(pitch=0.000000, yaw=-90.390503, roll=0.000000))
206 Transform(Location(x=-54.080715, y=14.433826, z=0.600000), Rotation(pitch=0.000000, yaw=88.908035, roll=0.000000))
207 Transform(Location(x=-114.022850, y=151.176605, z=0.500000), Rotation(pitch=0.000000, yaw=0.269699, roll=0.000000))
208 Transform(Location(x=-115.239326, y=154.670929, z=0.500000), Rotation(pitch=0.000000, yaw=0.269699, roll=0.000000))
209 Transform(Location(x=-136.218704, y=144.072083, z=0.500000), Rotation(pitch=0.000000, yaw=-179.730255, roll=0.000000))
210 Transform(Location(x=-135.235184, y=147.576721, z=0.500000), Rotation(pitch=0.000000, yaw=-179.730255, roll=0.000000))
211 Transform(Location(x=-120.004814, y=136.571930, z=0.300000), Rotation(pitch=0.000000, yaw=-90.511383, roll=0.000000))
212 Transform(Location(x=-123.520714, y=134.802856, z=0.300000), Rotation(pitch=0.000000, yaw=-90.511383, roll=0.000000))
213 Transform(Location(x=28.071249, y=102.152046, z=0.300000), Rotation(pitch=0.000000, yaw=90.022896, roll=0.000000))
214 Transform(Location(x=43.828613, y=95.542152, z=0.300000), Rotation(pitch=0.000000, yaw=-0.416199, roll=0.000000))
215 Transform(Location(x=17.807386, y=88.087051, z=0.300000), Rotation(pitch=0.000000, yaw=-179.934418, roll=0.000000))
